section,item,type,help,required,critical,weight,min,max,unit,options,failing options,photo,photo on fail,note on fail,raise action,status
VISIT,Person in Charge on Duty,text,,no,,,,,,,,,,,,
VISIT,Date/Time In,text,,no,,,,,,,,,,,,
TEMPERATURE LOG,Walk-In (Product),temperature,41°F or below,yes,yes,1,,41,°F,,,,,yes,yes,
TEMPERATURE LOG,Freezer,temperature,"0°F, +/- 10°",yes,no,1,-10,10,°F,,,,,yes,yes,
TEMPERATURE LOG,Drop-In (Product Tomatoes),temperature,41°F or below,yes,yes,1,,41,°F,,,,,yes,yes,
TEMPERATURE LOG,Sandwich Unit (Product Sweet Peppers),temperature,41°F or below,yes,yes,1,,41,°F,,,,,yes,yes,
TEMPERATURE LOG,Meat Case (Product Tuna),temperature,41°F or below,yes,yes,1,,41,°F,,,,,yes,yes,
TEMPERATURE LOG,Grill,temperature,"350°F, +/- 20°",yes,no,1,330,370,°F,,,,,yes,yes,
TEMPERATURE LOG,Proofer Humidity,number,Between 4 and 5,yes,no,1,4,5,,,,,,yes,yes,
TEMPERATURE LOG,Bread Oven,temperature,"350°F, +/- 10°",yes,no,1,340,360,°F,,,,,yes,yes,
ICE MACHINE PROFESSIONALLY CLEANED,On what date was your ice machine last professionally cleaned?,text,,no,,,,,,,,,,,,
ICE MACHINE PROFESSIONALLY CLEANED,Was documentation provided?,pass fail,,yes,no,1,,,,,,,,yes,yes,
SUPERVISION,1. The Person in Charge is knowledgeable and demonstrating food safety practices with a ServSafe or local equivalent certification.,pass fail,,yes,no,1,,,,,,,,yes,yes,
SUPERVISION,"2. The Person in Charge supervising food safety practices, ensuring that all proper food safety practices are being followed by all Team Members on shift.",pass fail,,yes,no,1,,,,,,,,yes,yes,
TEAM MEMBER HEALTH,3. Ill Team Members properly restricted or excluded from the establishment.,pass fail,,yes,no,1,,,,,,,,yes,yes,
GOOD HYGIENIC PRACTICES,"4. All eating, drinking, and tobacco use is done in designated areas away from food and dishwashing stations.",pass fail,,yes,no,1,,,,,,,,yes,yes,
GOOD HYGIENIC PRACTICES,5. All Team Members are wearing a hair restraint and/or hairnet with a Jersey Mike's hat or visor.,pass fail,,yes,no,1,,,,,,,,yes,yes,
GOOD HYGIENIC PRACTICES,6. All Team Members are following the uniform guidelines on jewelry-wearing prohibitions.,pass fail,,yes,no,1,,,,,,,,yes,yes,
GOOD HYGIENIC PRACTICES,"7. All Team Members are following the uniform guidelines for fingernails being short, clean, and trimmed with false nails not being permitted.",pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTING CONTAMINATION FROM HANDS,8. Team Members are washing hands.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTING CONTAMINATION FROM HANDS,9. Team Members are washing hands only in the designated hand sink stations.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTING CONTAMINATION FROM HANDS,"10. Hand sinks are free of debris and supplied with soap, a drying method, and trash container.",pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTING CONTAMINATION FROM HANDS,11. No bare hand contact with Ready-to-Eat foods.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTING CONTAMINATION FROM HANDS,"12. During preparation and while in storage, foods are stored in proper order to prevent raw meats and poultry from contaminating Ready-to-Eat foods.",pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTING CONTAMINATION FROM HANDS,"13. Food is only handled with clean and sanitized equipment, utensils, and linens.",pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTING CONTAMINATION FROM HANDS,"14. Team Members are changing gloves when contaminated, changing tasks, or after 4 hours of continuous use.",pass fail,,yes,no,1,,,,,,,,yes,yes,
TCS FOODS (TIME AND TEMPERATURE CONTROL FOR SAFE),"15. Any frozen foods items such as steaks, and bacon, are thawed in the refrigerator.",pass fail,,yes,no,1,,,,,,,,yes,yes,
TCS FOODS (TIME AND TEMPERATURE CONTROL FOR SAFE),16. Thermometers are accessible and calibrated for monitoring food temperatures.,pass fail,,yes,no,1,,,,,,,,yes,yes,
TCS FOODS (TIME AND TEMPERATURE CONTROL FOR SAFE),"17. All TCS foods are being held at temperatures of 41°F or below in walk-in, meat case, drop-ins, sandwich unit, and freezer.",pass fail,,yes,yes,1,,,,,,,,yes,yes,
TCS FOODS (TIME AND TEMPERATURE CONTROL FOR SAFE),18. TCS foods received at 41°F or below.,pass fail,,yes,yes,1,,,,,,,,yes,yes,
CHEMICAL,19. Chemicals are clearly labeled with contents and stored in a way to prevent contamination.,pass fail,"All chemicals are not stored above food, equipment, utensils, linen, and single-service articles.",yes,no,1,,,,,,,,yes,yes,
FOOD ROTATION AND LABELING - FIFO,20. Date-marking,pass fail,"Ready-to-Eat TCS foods (deli meats, cheeses, backup containers for drop-ins, other TCS foods) are dated with the Use-by-Date or manufacturer's date, after receiving / cooking / cooling. Applies to all refrigeration units - walk-in, meat case, drop-ins, sandwich unit, and freezer.",yes,no,1,,,,,,,,yes,yes,
FOOD ROTATION AND LABELING - FIFO,21. Expiration Dates,pass fail,"All deli meats, cheeses, backup containers in drop-ins, and other Ready-to-Eat foods are within expiration dates in all refrigeration units. Applies to all refrigeration units - walk-in, meat case, drop-ins, sandwich unit, and freezer.",yes,no,1,,,,,,,,yes,yes,
FOOD ROTATION AND LABELING - FIFO,22. Condiment Protection,pass fail,"Dressing and condiment bottles are replaced with substitute bottles, not refilled. (Bottles are washed, rinsed, and sanitized once emptied) Applies to sauces, vinegar, oil, oregano, and salt shakers.",yes,no,1,,,,,,,,yes,yes,
FOOD ROTATION AND LABELING - FIFO,23. Food Rotation,pass fail,"Deli meats, cheeses, backup containers and other TCS foods are stored in First In / First Out order and rotated by date in all refrigeration units - walk-in, meat case, drop-ins, sandwich unit, and freezer.",yes,no,1,,,,,,,,yes,yes,
FOOD ROTATION AND LABELING - FIFO,24. All food containers are properly labeled with the Use-by-Date.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTION OF FOOD CONTAMINATION,25. Sanitizer buckets contain the proper chemical solution with test strips available and in use.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTION OF FOOD CONTAMINATION,26. Towels are stored in sanitizer buckets in-between uses and kept separated after handling raw foods.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTION OF FOOD CONTAMINATION,"27. Onions, lettuce, tomatoes, celery, and green bell peppers are washed in potable water.",pass fail,,yes,no,1,,,,,,,,yes,yes,
PREVENTION OF FOOD CONTAMINATION,"28. All foods are stored in a clean and dry location with no splash, dust, or other contamination.",pass fail,,yes,no,1,,,,,,,,yes,yes,
